INSERT ALL
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B66986', 'T00016', 'E00023', TO_TIMESTAMP('2024-12-20 07:14:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-17', 'YYYY-MM-DD'), 1284.3930000000003, 'BS001', 'BM002', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B67299', 'T00033', 'E00025', TO_TIMESTAMP('2024-04-18 12:47:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-08', 'YYYY-MM-DD'), 356.961, 'BS001', 'BM004', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B69812', 'T00048', 'E00020', TO_TIMESTAMP('2024-12-16 03:01:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-08', 'YYYY-MM-DD'), 597.575, 'BS001', 'BM001', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B91000', 'T00039', 'E00010', TO_TIMESTAMP('2024-06-10 21:33:06', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-20', 'YYYY-MM-DD'), 4305.455000000001, 'BS001', 'BM004', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B83775', 'T00008', 'E00016', TO_TIMESTAMP('2024-10-29 07:11:32', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-11-20', 'YYYY-MM-DD'), 0, 'BS002', 'BM004', 'PS003')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B63110', 'T00017', 'E00007', TO_TIMESTAMP('2024-12-22 12:34:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-14', 'YYYY-MM-DD'), 4790.709, 'BS001', 'BM004', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B26409', 'T00003', 'E00020', TO_TIMESTAMP('2024-12-18 19:27:53', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-08', 'YYYY-MM-DD'), 597.575, 'BS001', 'BM003', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B46240', 'T00002', 'E00014', TO_TIMESTAMP('2024-10-02 09:40:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-10-15', 'YYYY-MM-DD'), 2596.3410000000003, 'BS001', 'BM002', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B74673', 'T00047', 'E00023', TO_TIMESTAMP('2025-01-09 18:03:18', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-17', 'YYYY-MM-DD'), 0, 'BS003', 'BM004', 'PS001')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B89659', 'T00048', 'E00018', TO_TIMESTAMP('2024-09-13 06:02:19', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-09-26', 'YYYY-MM-DD'), 3778.742, 'BS001', 'BM004', 'PS002')
INTO Fall24_S003_T8_Bookings (Booking_ID, Traveler_ID, Experience_ID, Date_Of_Booking, Experience_Date, Amount_Paid, Booking_Status_ID, Booking_Method_ID, Payment_Status_ID) VALUES ('B33423', 'T00042', 'E00014', TO_TIMESTAMP('2024-09-21 11:01:40', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-10-15', 'YYYY-MM-DD'), 2596.3410000000003, 'BS001', 'BM003', 'PS002')
