INSERT ALL
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00001', 'Valerie', 'Dominguez', TO_DATE('1995-06-20', 'YYYY-MM-DD'), 'Couple', 'O', 'L00053', 'robertwilliams@example.org', '808-871-7463x82')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00002', 'Angela', 'Shelton', TO_DATE('1951-09-21', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00092', 'michellejohnson@example.org', '(579)420-2663')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00003', 'Heidi', 'Pham', TO_DATE('1974-05-14', 'YYYY-MM-DD'), 'Group', 'F', 'L00021', 'breanna64@example.org', '7804467909')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00004', 'Stephen', 'Lambert', TO_DATE('1951-05-17', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00063', 'xalexander@example.org', '(758)433-6195')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00005', 'Leah', 'Kennedy', TO_DATE('1961-01-12', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00043', 'robertssusan@example.com', '+1-959-715-6723')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00006', 'Mark', 'Mccann', TO_DATE('1951-02-21', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00002', 'huffmegan@example.org', '805.900.6580')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00007', 'Rachel', 'Clark', TO_DATE('1965-06-12', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00030', 'rchung@example.net', '+1-758-222-9097')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00008', 'Kathleen', 'Martin', TO_DATE('2005-10-03', 'YYYY-MM-DD'), 'Student', 'O', 'L00080', 'alynch@example.org', '(659)588-5966')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00009', 'Melissa', 'Jackson', TO_DATE('1984-04-24', 'YYYY-MM-DD'), 'Couple', 'M', 'L00033', 'stevenclay@example.com', '001-623-229-868')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00010', 'Thomas', 'Stewart', TO_DATE('1962-11-15', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00033', 'wilsontodd@example.com', '+1-634-408-1863')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00011', 'John', 'Solis', TO_DATE('1989-06-15', 'YYYY-MM-DD'), 'Couple', 'F', 'L00060', 'nicolemartin@example.org', '446-756-7132')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00012', 'Manuel', 'Roberson', TO_DATE('1957-05-29', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00072', 'dwarren@example.com', '(860)539-1303x0')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00013', 'Patrick', 'Zavala', TO_DATE('1984-06-08', 'YYYY-MM-DD'), 'Couple', 'O', 'L00086', 'ugonzalez@example.org', '765-438-3018')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00014', 'Douglas', 'Graham', TO_DATE('1987-09-17', 'YYYY-MM-DD'), 'Couple', 'O', 'L00060', 'jennifer86@example.com', '(251)767-7604')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00015', 'Johnathan', 'Brown', TO_DATE('1972-12-20', 'YYYY-MM-DD'), 'Group', 'F', 'L00060', 'kristenrichmond@example.net', '697.513.1961x45')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00016', 'Daniel', 'Simon', TO_DATE('1994-10-16', 'YYYY-MM-DD'), 'Couple', 'F', 'L00026', 'tina97@example.com', '+1-343-582-0837')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00017', 'Jonathan', 'Clark', TO_DATE('1949-01-13', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00035', 'mosesdavid@example.net', '001-467-786-185')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00018', 'Ronald', 'Griffith', TO_DATE('1957-09-28', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00018', 'wendyday@example.com', '674.840.0537')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00019', 'Morgan', 'Smith', TO_DATE('1967-04-20', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00088', 'daughertyrichard@example.org', '(403)427-3665x5')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00020', 'Sean', 'Randall', TO_DATE('1960-09-26', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00038', 'pbyrd@example.com', '594.210.9211')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00021', 'Jennifer', 'Campos', TO_DATE('1964-11-12', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00078', 'sarah64@example.net', '(527)304-8881x3')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00022', 'Justin', 'Nelson', TO_DATE('1986-07-15', 'YYYY-MM-DD'), 'Couple', 'F', 'L00001', 'nguyenpatricia@example.com', '441.647.2520')
